imageFileName,imageStem,imagePath,fileSizeBytes,fileHash,duplicateGroupSize
103.jpg,103,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/103.jpg,39817,71a3c3fe603324f7dc4eed16cae9e587a55165173c2a34eed1fbca119f132c9a,1
1030.jpg,1030,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1030.jpg,185756,39313e5e9ef1a63bc6e0139c58b48895ed8faf7c481940fb344f81457e17a690,1
1031.jpg,1031,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1031.jpg,144280,f2d475b2025ee21a89f5b099573856411b29c483d845663f70d4f16add482c6d,1
1032.jpg,1032,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1032.jpg,95191,03a03dc2b0390d4b036bd62e36ea7c4146d6a9c7f11810d028df9affd0037b4c,1
1033.jpg,1033,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1033.jpg,131495,da8f22313eebccc4ae0996e448041b4804d2bfc16c989ea6542ae945dc385e30,1
1034.jpg,1034,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1034.jpg,69561,a71b522d8fc2326ed11b1aca4d6b649d10c8cf4db5e1cb211a2879d85350a433,1
1035.jpg,1035,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1035.jpg,78580,d43eb487be89117ca7703d68c3e164df9effe6f7adb0b283693558910efeafee,1
1036.jpg,1036,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1036.jpg,237343,ea6aa7f89058ef0c5c31731d0fc1797dd89ff73acf72d909a90b4635ad64ea0d,1
1037.jpg,1037,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1037.jpg,90381,1e75bedc024bc5c33982ec0ad14a54e0b5968c23498c318c8500a4f739f74679,1
1038.jpg,1038,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1038.jpg,90961,dfebc4005e8c007d70348ff3364c6bbfbb0caa4329809c98ff3debe1bd6efefa,1
