trialNumber,featureCacheKey,imageSize,pixelsPerCellX,pixelsPerCellY,pixelsPerCellLabel,orientations,colorMode,cValue,logisticTol,logisticMaxIter,featureDimension,hadConvergenceWarning,convergenceWarningCount,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1,isSelectionEligible,rankBySelection
11,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.1,0.001,2000,8112,0,0,1.0,1.0,1.0,1.0,1.0,0.6693877551020408,0.6528306878306879,0.6468197302896784,0.6417620852291096,0.6743066091468584,1,56
96,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.3,0.001,2000,3888,0,0,1.0,1.0,1.0,1.0,1.0,0.6775510204081633,0.6322484546162226,0.6579446745275113,0.639464099136091,0.6837013793164223,1,57
93,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.01,0.001,2000,3888,0,0,0.9799453053783045,0.9843958300005333,0.9830467457205456,0.9834017410200177,0.9800130088951932,0.6775510204081633,0.6333997370091645,0.653177997802565,0.6391703409758965,0.6822565417701472,1,58
9,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.01,0.001,2000,8112,0,0,0.9972652689152234,0.9977769172296086,0.9978431048264836,0.9978026253531649,0.9972655163187696,0.6775510204081633,0.6352009977009977,0.6485730523941218,0.6391475233959264,0.6816047590132011,1,59
48,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.3,0.001,2000,2352,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6332974039764995,0.6510925858334322,0.637614493445993,0.6927995449629705,1,60
8,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.003,0.001,2000,8112,0,0,0.9781221513217867,0.9827624714339495,0.9821862871882935,0.982170261713176,0.9782312000312097,0.6775510204081633,0.6310742133110555,0.6477163970578546,0.6365372084058163,0.6807324197474355,1,61
94,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.03,0.001,2000,3888,0,0,0.9945305378304466,0.9958417069312011,0.9960866471657838,0.9959346502718261,0.9945322442400817,0.6816326530612244,0.6367206217352029,0.6428987201182242,0.6364661078491811,0.6857638835922261,1,62
23,size112__ppc16x16__ori12__colorrgb,112,16,16,16x16,12,rgb,0.1,0.001,2000,1728,0,0,0.9890610756608933,0.9912483053496811,0.990497637350301,0.9908268905836225,0.9891049975505631,0.673469387755102,0.6361131018739714,0.6583202137507153,0.635995794634998,0.6847693997022914,1,63
79,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.001,0.001,2000,17328,0,0,0.9790337283500455,0.9835175720758231,0.9821309948047947,0.9825135439191257,0.9791103155691735,0.6816326530612244,0.6312440712595512,0.6545276112211441,0.6359885011842599,0.6879323216964504,1,64
80,size160__ppc8x8__ori12__colorrgb,160,8,8,8x8,12,rgb,0.003,0.001,2000,17328,0,0,0.9972652689152234,0.9977769172296086,0.998201438848921,0.9979804583350997,0.9972627028258848,0.6816326530612244,0.6303859177932565,0.6489309417768099,0.6339930498474803,0.6881001284946002,1,65
74,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.003,0.001,2000,12996,0,0,0.9890610756608933,0.9918171832200113,0.9908954749473448,0.991252076347533,0.9890993913216786,0.6775510204081633,0.6274796327427906,0.642926797331546,0.631702161475851,0.6823516740666483,1,66
6,size112__ppc8x8__ori9__colorrgb,112,8,8,8x8,9,rgb,0.3,0.001,2000,6084,0,0,1.0,1.0,1.0,1.0,1.0,0.6612244897959184,0.6354904131405005,0.6359563667254023,0.6308787717013545,0.665722038945725,1,67
12,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.3,0.001,2000,8112,0,0,1.0,1.0,1.0,1.0,1.0,0.6612244897959184,0.6271634209466657,0.6413745019639673,0.6282559528255368,0.6669807153061919,1,68
68,size144__ppc16x16__ori12__colorrgb,144,16,16,16x16,12,rgb,0.003,0.001,2000,3072,0,0,0.9070191431175935,0.9056084907720346,0.9230664285476756,0.9116795145858902,0.9071002758157827,0.6653061224489796,0.6285851766213694,0.6590037711970856,0.6282517214112174,0.6775462672871727,1,69
17,size112__ppc16x16__ori9__colorrgb,112,16,16,16x16,9,rgb,0.1,0.001,2000,1296,0,0,0.9762989972652689,0.9781888734982802,0.9807200735228737,0.9792577029895216,0.976430416092041,0.6693877551020408,0.623534439323913,0.6435319793721731,0.6274129525191547,0.6749288581593376,1,70
24,size112__ppc16x16__ori12__colorrgb,112,16,16,16x16,12,rgb,0.3,0.001,2000,1728,0,0,0.9945305378304466,0.9958239813535913,0.9949918933111689,0.9953903941575707,0.9945422138269074,0.6612244897959184,0.6278895124483359,0.6478300356126124,0.6260482294147701,0.6732743974174438,1,71
86,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.003,0.001,2000,2916,0,0,0.8915223336371924,0.8913304964712722,0.9100105097611689,0.8971195869390932,0.8914510345031345,0.6571428571428571,0.6201391177947789,0.6588488620149416,0.6251960140553158,0.6675802415057247,1,72
16,size112__ppc16x16__ori9__colorrgb,112,16,16,16x16,9,rgb,0.03,0.001,2000,1296,0,0,0.95077484047402,0.9559752772964906,0.9604069203241058,0.9575017046628057,0.9510934221228518,0.6571428571428571,0.6210801762861259,0.6452824249599803,0.6238488962458794,0.6649791731063974,1,73
25,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.001,0.001,2000,8100,0,0,0.9252506836827712,0.9299096252936122,0.9384476537586766,0.931704291871042,0.925446224269309,0.6653061224489796,0.6178086418715244,0.6379779811623832,0.6201503750217507,0.676700739017373,1,74
18,size112__ppc16x16__ori9__colorrgb,112,16,16,16x16,9,rgb,0.3,0.001,2000,1296,0,0,0.9899726526891522,0.99180164819551,0.9918087255596558,0.9917841672164522,0.9900045761552527,0.6571428571428571,0.6141995016995018,0.6366624201402352,0.6198389287070969,0.6627403113599464,1,75
92,size160__ppc16x16__ori12__colorrgb,160,16,16,16x16,12,rgb,0.003,0.001,2000,3888,0,0,0.9307201458523245,0.9378094372623217,0.9440027630211424,0.9390461575193614,0.9308592910844569,0.6530612244897959,0.6110086797271723,0.6459402589900596,0.6169254848556678,0.6622562938676789,1,76
31,size128__ppc8x8__ori12__colorrgb,128,8,8,8x8,12,rgb,0.001,0.001,2000,10800,0,0,0.9516864175022789,0.9590220754798833,0.9597435133700906,0.9581110151690228,0.9518086944627011,0.6571428571428571,0.6163872606907708,0.6361701746321035,0.6160879393019161,0.6689542663002519,1,77
44,size128__ppc16x16__ori12__colorrgb,128,16,16,16x16,12,rgb,0.003,0.001,2000,2352,0,0,0.8732907930720146,0.8773893812630972,0.897837136170033,0.8836147662959423,0.8727744318578998,0.6489795918367347,0.6074028737287452,0.6410353387973092,0.613241060879126,0.6581704590585173,1,78
73,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.001,0.001,2000,12996,0,0,0.9644484958979034,0.9709723718178865,0.9709421184459853,0.9703012527566878,0.96466737469013,0.6571428571428571,0.607247491292419,0.6287408523293635,0.6129984431412298,0.6643128276353983,1,79
49,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.001,0.001,2000,10404,0,0,0.9480401093892434,0.9556132625159598,0.9580230991079631,0.9554046322166448,0.948270571432057,0.6612244897959184,0.609743126157957,0.6295138696509582,0.6124809884495196,0.6699816110973936,1,80
21,size112__ppc16x16__ori12__colorrgb,112,16,16,16x16,12,rgb,0.01,0.001,2000,1728,0,0,0.9179580674567,0.927379253039062,0.9338216616732883,0.928570538620176,0.918280903644607,0.6408163265306123,0.6070230409585295,0.6314651970466431,0.604783003020889,0.6531485288113752,1,81
7,size112__ppc8x8__ori12__colorrgb,112,8,8,8x8,12,rgb,0.001,0.001,2000,8112,0,0,0.9288969917958068,0.9336056763120957,0.9408705872999645,0.9353192637519196,0.9288576721552436,0.6489795918367347,0.5973316157526684,0.6204713920383426,0.6029929508279182,0.6557439401927196,1,82
