trialNumber,featureCacheKey,imageSize,pixelsPerCellX,pixelsPerCellY,pixelsPerCellLabel,orientations,colorMode,cValue,svmTol,svmMaxIter,featureDimension,hadConvergenceWarning,convergenceWarningCount,trainAccuracy,trainMacroPrecision,trainMacroRecall,trainMacroF1,trainWeightedF1,valAccuracy,valMacroPrecision,valMacroRecall,valMacroF1,valWeightedF1,isSelectionEligible,rankBySelection
15,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.03,0.001,10000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.7020408163265306,0.6726070226070227,0.686210702100737,0.6763781146380374,0.7042810714282571,1,11
13,size144__ppc8x8__ori9__colorrgb,144,8,8,8x8,9,rgb,0.007,0.001,10000,10404,0,0,1.0,1.0,1.0,1.0,1.0,0.7061224489795919,0.6698875833192189,0.6864492492975535,0.6759712392577159,0.7084101773261684,1,12
27,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.003,0.001,10000,2916,0,0,0.9781221513217867,0.9823763710351147,0.9807529510985445,0.9812398681832444,0.9781857511513762,0.7020408163265306,0.6698409533935848,0.6837169843270562,0.6723118070644691,0.7072907294217025,1,13
25,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.03,0.001,10000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.689795918367347,0.665721848330544,0.682259585150574,0.6684812635265356,0.6927360629643168,1,14
2,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.003,0.001,10000,8100,0,0,0.9990884229717412,0.9993412384716732,0.9994004796163068,0.9993696666963993,0.9990885042826883,0.6938775510204082,0.6691201829359725,0.6766588939868101,0.6671639423574737,0.6996086488710334,1,15
5,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.03,0.001,10000,8100,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6700019832812352,0.6724394847041096,0.6645372698462587,0.692472185920019,1,16
21,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.001,0.001,10000,12996,0,0,0.9981768459434822,0.9986876640419947,0.9984426252101767,0.9985606307746391,0.998178314262606,0.689795918367347,0.6536309800404163,0.6845433718079968,0.6640436374938506,0.6944750192441722,1,17
23,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.007,0.001,10000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.661133914394784,0.6777550806460696,0.6636762774238095,0.6890224132920426,1,18
24,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.01,0.001,10000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.661133914394784,0.6777550806460696,0.6636762774238095,0.6890224132920426,1,19
10,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.03,0.001,10000,1764,0,0,0.9972652689152234,0.9977719131262438,0.9975268742944258,0.9976448798588882,0.9972667372343471,0.7020408163265306,0.6611314935455105,0.6708624191101124,0.6632497863708823,0.7046413896925018,1,20
26,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.001,0.001,10000,2916,0,0,0.9498632634457612,0.9541589378775216,0.9574949249566186,0.9549277224313522,0.949982653366029,0.689795918367347,0.6537141001573286,0.6797994731554263,0.6588316528892899,0.6960080102974949,1,21
22,size160__ppc8x8__ori9__colorrgb,160,8,8,8x8,9,rgb,0.003,0.001,10000,12996,0,0,1.0,1.0,1.0,1.0,1.0,0.6816326530612244,0.6532315531025922,0.6756453760047193,0.658557322420588,0.6849210001900488,1,22
3,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.007,0.001,10000,8100,0,0,1.0,1.0,1.0,1.0,1.0,0.6816326530612244,0.6576642795421703,0.6703297800627595,0.6576337284948207,0.6874644803458108,1,23
4,size128__ppc8x8__ori9__colorrgb,128,8,8,8x8,9,rgb,0.01,0.001,10000,8100,0,0,1.0,1.0,1.0,1.0,1.0,0.6816326530612244,0.6576642795421703,0.6703297800627595,0.6576337284948207,0.6874644803458108,1,24
16,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.001,0.001,10000,2304,0,0,0.9206927985414768,0.9288347297167551,0.9347338893082534,0.9299323176136429,0.9211992425911804,0.6775510204081633,0.6477736093651791,0.6817719184551482,0.6562057581523656,0.6833417948271188,1,25
29,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.01,0.001,10000,2916,0,0,0.9963536918869644,0.9971234647705236,0.9969273539107327,0.9970160636764214,0.9963571784039668,0.689795918367347,0.656309939408531,0.6648059047793092,0.6551458632233381,0.697243463238954,1,26
28,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.007,0.001,10000,2916,0,0,0.99179580674567,0.9936740018707231,0.993213083947393,0.9933853549072618,0.9918106885057898,0.689795918367347,0.6532666646728592,0.6630396404284115,0.6530065498774165,0.6966522890107377,1,27
20,size144__ppc16x16__ori9__colorrgb,144,16,16,16x16,9,rgb,0.03,0.001,10000,2304,0,0,0.9972652689152234,0.9980392156862745,0.9975268742944258,0.9977740621863069,0.997269969467717,0.6612244897959184,0.6473536907988127,0.6343975347647453,0.6341699402496876,0.6633280093041448,1,28
6,size128__ppc16x16__ori9__colorrgb,128,16,16,16x16,9,rgb,0.001,0.001,10000,1764,0,0,0.9051959890610757,0.9171117151438818,0.92177413225303,0.9170369203237029,0.9053435364576757,0.6612244897959184,0.6188120023786936,0.6491451661644936,0.6229471727980069,0.671698144883269,1,29
30,size160__ppc16x16__ori9__colorrgb,160,16,16,16x16,9,rgb,0.03,0.001,10000,2916,0,0,1.0,1.0,1.0,1.0,1.0,0.6612244897959184,0.6280526037822046,0.6238182822960975,0.6200720542538282,0.6707055319845834,1,30
